urn,SchoolName,school_name_gias,LAName,la_name_gias,SchoolType,TotalPupils,TotalExpenditure,TeachingStaffCosts,SupplyTeachingStaffCosts,EducationSupportStaffCosts,AgencySupplyTeachingStaffCosts,EducationalConsultancyCosts,status,URN,PeriodCoveredByReturn,TotalTeachingSupportStaffCosts,TotalNonEducationalSupportStaffCosts,AdministrativeClericalStaffCosts,AuditorsCosts,OtherStaffCosts,ProfessionalServicesNonCurriculumCosts,TotalEducationalSuppliesCosts,ExaminationFeesCosts,LearningResourcesNonIctCosts,LearningResourcesIctCosts,TotalPremisesStaffServiceCosts,CleaningCaretakingCosts,MaintenancePremisesCosts,OtherOccupationCosts,PremisesStaffCosts,TotalUtilitiesCosts,EnergyCosts,WaterSewerageCosts,AdministrativeSuppliesNonEducationalCosts,TotalGrossCateringCosts,TotalNetCateringCosts,CateringStaffCosts,CateringSuppliesCosts,TotalOtherCosts,GroundsMaintenanceCosts,IndirectEmployeeExpenses,InterestChargesLoanBank,OtherInsurancePremiumsCosts,PrivateFinanceInitiativeCharges,RentRatesCosts,SpecialFacilitiesCosts,StaffDevelopmentTrainingCosts,StaffRelatedInsuranceCosts,SupplyTeacherInsurableCosts,CommunityFocusedSchoolStaff,CommunityFocusedSchoolCosts
100975,Central Foundation Girls' School,Central Foundation Girls' School,Tower Hamlets,Tower Hamlets,Voluntary aided school,1541.0,16430728.0,8096349.0,109589.0,1593279.0,483648.0,399337.0,success,100975.0,12.0,10682202.0,1696957.0,852012.0,,620894.0,224051.0,472604.0,197595.0,275009.0,101644.0,75395.0,0.0,15202.0,60193.0,0.0,274543.0,253396.0,21147.0,160091.0,689514.0,698264.0,23887.0,665627.0,2277779.0,640.0,53597.0,0.0,44763.0,2056811.0,80372.0,27560.0,7693.0,0.0,6343.0,0.0,0.0
100977,Stepney All Saints Church of England Secondary School,Stepney All Saints Church of England Secondary School,Tower Hamlets,Tower Hamlets,Voluntary aided school,1373.0,13778981.0,7808102.0,355128.0,1356400.0,549613.0,234780.0,success,100977.0,12.0,10304023.0,1394656.0,762084.0,,364976.0,267596.0,472983.0,158601.0,314382.0,29108.0,429454.0,12114.0,88762.0,106006.0,222572.0,244884.0,227292.0,17592.0,162943.0,547523.0,490795.0,271799.0,275724.0,193406.0,773.0,46209.0,0.0,53088.0,0.0,40752.0,4297.0,42808.0,5479.0,0.0,0.0,0.0
100986,Bowden House School,Bowden House School,Tower Hamlets,Tower Hamlets,Community special school,38.0,4211726.0,1400397.0,235.0,1248313.0,0.0,78696.0,success,100986.0,12.0,2727641.0,357900.0,263126.0,,0.0,94774.0,121112.0,1405.0,119707.0,54859.0,475042.0,10300.0,108704.0,41047.0,314991.0,111932.0,107248.0,4684.0,20679.0,160056.0,160056.0,76175.0,83881.0,182505.0,12303.0,35945.0,0.0,17091.0,0.0,0.0,84048.0,33118.0,0.0,0.0,0.0,0.0
100987,Phoenix School,Phoenix School,Tower Hamlets,Tower Hamlets,Community special school,502.0,19175287.0,5767429.0,0.0,6946455.0,136246.0,1700560.0,success,100987.0,12.0,14550690.0,1090560.0,645960.0,,263169.0,181431.0,449817.0,4928.0,444889.0,51762.0,363582.0,45830.0,97591.0,210285.0,9876.0,239132.0,216218.0,22914.0,58658.0,700390.0,604433.0,382764.0,317626.0,1670696.0,0.0,53650.0,0.0,32453.0,1482040.0,0.0,7277.0,86961.0,0.0,8315.0,0.0,0.0
100989,Beatrice Tate School,Beatrice Tate School,Tower Hamlets,Tower Hamlets,Community special school,127.0,5882074.0,2100993.0,0.0,1511849.0,85705.0,882086.0,success,100989.0,12.0,4580633.0,469871.0,185407.0,,139080.0,145384.0,85966.0,0.0,85966.0,1725.0,444130.0,31810.0,122437.0,52676.0,237207.0,139769.0,123978.0,15791.0,25143.0,76571.0,72508.0,0.0,76571.0,58268.0,3820.0,3557.0,0.0,8612.0,0.0,0.0,3163.0,34527.0,4589.0,0.0,0.0,0.0
100990,Balham Nursery School,Balham Nursery School,Wandsworth,Wandsworth,Local authority nursery school,33.0,526698.0,198706.0,0.0,149820.0,0.0,6756.0,success,100990.0,12.0,355282.0,77210.0,50599.0,,8200.0,18411.0,12847.0,0.0,12847.0,4443.0,30753.0,15613.0,6841.0,2430.0,5869.0,6880.0,4348.0,2532.0,5036.0,8550.0,4837.0,0.0,8550.0,25701.0,150.0,993.0,0.0,488.0,0.0,20334.0,7.0,958.0,1168.0,1603.0,0.0,0.0
100991,Eastwood Nursery School,Eastwood Nursery School,Wandsworth,Wandsworth,Local authority nursery school,13.5,1191665.0,203456.0,0.0,141939.0,42978.0,14323.0,success,100991.0,12.0,402696.0,229281.0,103307.0,,103636.0,22338.0,4648.0,0.0,4648.0,4597.0,88407.0,52411.0,26837.0,4194.0,4965.0,3985.0,4097.0,-112.0,5841.0,351228.0,312187.0,348305.0,2923.0,100982.0,350.0,1135.0,0.0,550.0,0.0,39503.0,51852.0,1351.0,4076.0,2165.0,0.0,0.0
100992,Somerset Nursery School and Children's Centre,Somerset Nursery School and Children's Centre,Wandsworth,Wandsworth,Local authority nursery school,44.5,698492.0,197562.0,0.0,240851.0,760.0,0.0,success,100992.0,12.0,439173.0,95072.0,61458.0,,12810.0,20804.0,5826.0,0.0,5826.0,3670.0,59014.0,27449.0,13359.0,3115.0,15091.0,17528.0,14757.0,2771.0,8113.0,18071.0,1717.0,0.0,18071.0,52027.0,5250.0,871.0,0.0,638.0,0.0,40677.0,0.0,1369.0,1626.0,1596.0,0.0,0.0
100994,Francis Barber Pupil Referral Unit,Francis Barber Pupil Referral Unit,Wandsworth,Wandsworth,Pupil referral unit,84.0,3253450.0,1537729.0,0.0,766745.0,134193.0,82740.0,success,100994.0,12.0,2521407.0,280573.0,246809.0,,0.0,33764.0,135240.0,21798.0,113442.0,13487.0,173054.0,45369.0,64209.0,13700.0,49776.0,35881.0,34205.0,1676.0,35983.0,30419.0,29169.0,0.0,30419.0,27406.0,24.0,8110.0,0.0,0.0,0.0,0.0,3516.0,3369.0,1693.0,10694.0,0.0,0.0
100995,Alderbrook Primary School,Alderbrook Primary School,Wandsworth,Wandsworth,Community school,224.5,2212304.0,1035267.0,0.0,405691.0,63927.0,69097.0,success,100995.0,12.0,1573982.0,212307.0,143587.0,,34128.0,34592.0,30163.0,0.0,30163.0,5816.0,158827.0,87271.0,16703.0,7137.0,47716.0,35112.0,21721.0,13391.0,17294.0,97974.0,94725.0,4423.0,93551.0,80832.0,2647.0,7406.0,0.0,7510.0,0.0,43235.0,4835.0,5065.0,0.0,10134.0,0.0,0.0
